state,total_transactions,flagged,anomaly_rate,mean_anomaly_score,low_support
Connecticut,36,6,0.16666666666666666,0.4903705522105423,False
Alaska,20,3,0.15,0.4568103197567834,False
West Virginia,20,3,0.15,0.5004143407478401,False
Kansas,29,4,0.13793103448275862,0.5312807338234332,False
Minnesota,57,6,0.10526315789473684,0.500378426686725,False
Arkansas,30,3,0.1,0.502139384104635,False
Maine,20,2,0.1,0.45924785450055194,False
Montana,20,2,0.1,0.47775855835174985,False
New Hampshire,20,2,0.1,0.4291216065770193,False
South Dakota,20,2,0.1,0.5318133409149478,False
Puerto Rico,33,3,0.09090909090909091,0.414649026895391,False
South Carolina,51,4,0.0784313725490196,0.520790032033168,False
Louisiana,47,3,0.06382978723404255,0.4115624721904001,False
District of Columbia,48,3,0.0625,0.44490679747345635,False
Iowa,32,2,0.0625,0.45165724610949476,False
Utah,33,2,0.06060606060606061,0.4504128736232576,False
Nevada,55,3,0.05454545454545454,0.38752495918593555,False
New Jersey,93,5,0.053763440860215055,0.45894439766946804,False
Delaware,20,1,0.05,0.4158164746833369,False
Idaho,20,1,0.05,0.43799383433770417,False
North Dakota,20,1,0.05,0.42442345258981745,False
Rhode Island,20,1,0.05,0.45465117681234235,False
Georgia,61,2,0.03278688524590164,0.3703616818161503,False
Florida,124,4,0.03225806451612903,0.3865743276522211,False
Nebraska,65,2,0.03076923076923077,0.35925211103095256,False
Oklahoma,68,2,0.029411764705882353,0.3644404772744161,False
Texas,346,10,0.028901734104046242,0.399841835752376,False
California,357,10,0.028011204481792718,0.38136658204160084,False
Oregon,42,1,0.023809523809523808,0.34543071526209673,False
Alabama,50,1,0.02,0.28912400510674435,False
Kentucky,51,1,0.0196078431372549,0.38163917793340085,False
Ohio,54,1,0.018518518518518517,0.3773991227604899,False
Indiana,58,1,0.017241379310344827,0.29694605846298167,False
New York,58,1,0.017241379310344827,0.3563517768628509,False
Tennessee,118,2,0.01694915254237288,0.37775806561028685,False
Arizona,183,3,0.01639344262295082,0.3383150143632471,False
Missouri,61,1,0.01639344262295082,0.3758778438686823,False
Washington,61,1,0.01639344262295082,0.323546619112403,False
Michigan,63,1,0.015873015873015872,0.3644083639591374,False
Pennsylvania,67,1,0.014925373134328358,0.3566574540453016,False
Colorado,122,1,0.00819672131147541,0.3312676093312549,False
Hawaii,20,0,0.0,0.40087237645118173,False
Illinois,60,0,0.0,0.3363475950633499,False
Maryland,51,0,0.0,0.30244178777879893,False
Massachusetts,61,0,0.0,0.3637428111552578,False
Mississippi,30,0,0.0,0.42204504725592906,False
New Mexico,41,0,0.0,0.30348053367837874,False
North Carolina,127,0,0.0,0.3247055641605985,False
Vermont,20,0,0.0,0.44008477200090734,False
Virginia,55,0,0.0,0.35839484601773264,False
Wisconsin,55,0,0.0,0.3376066438892406,False
Wyoming,20,0,0.0,0.4400329568697362,False
